,DATE,USER,SLEEP,HEART,STEP,HEIGHT,WEIGHT
0,2021-05-31 00:00:00,0,,,,71,140
1,2021-05-31 00:01:00,0,,,,71,140
2,2021-05-31 00:02:00,0,,,,71,140
3,2021-05-31 00:03:00,0,,,,71,140
4,2021-05-31 00:04:00,0,,,,71,140
5,2021-05-31 00:05:00,0,,,,71,140
6,2021-05-31 00:06:00,0,,,,71,140
7,2021-05-31 00:07:00,0,,,,71,140
8,2021-05-31 00:08:00,0,,,,71,140
9,2021-05-31 00:09:00,0,,,,71,140
10,2021-05-31 00:10:00,0,,,,71,140
11,2021-05-31 00:11:00,0,,,,71,140
12,2021-05-31 00:12:00,0,,,,71,140
13,2021-05-31 00:13:00,0,,,,71,140
14,2021-05-31 00:14:00,0,,,,71,140
15,2021-05-31 00:15:00,0,,,,71,140
16,2021-05-31 00:16:00,0,,,,71,140
17,2021-05-31 00:17:00,0,,,,71,140
18,2021-05-31 00:18:00,0,,,,71,140
19,2021-05-31 00:19:00,0,,,,71,140
20,2021-05-31 00:20:00,0,,,,71,140
21,2021-05-31 00:21:00,0,,,,71,140
22,2021-05-31 00:22:00,0,,,,71,140
23,2021-05-31 00:23:00,0,,,,71,140
24,2021-05-31 00:24:00,0,,,,71,140
25,2021-05-31 00:25:00,0,,,,71,140
26,2021-05-31 00:26:00,0,,,,71,140
27,2021-05-31 00:27:00,0,,,,71,140
28,2021-05-31 00:28:00,0,,,,71,140
29,2021-05-31 00:29:00,0,,,,71,140
30,2021-05-31 00:30:00,0,,,,71,140
31,2021-05-31 00:31:00,0,,,,71,140
32,2021-05-31 00:32:00,0,,,,71,140
33,2021-05-31 00:33:00,0,,,,71,140
34,2021-05-31 00:34:00,0,,,,71,140
35,2021-05-31 00:35:00,0,,,,71,140
36,2021-05-31 00:36:00,0,,,,71,140
37,2021-05-31 00:37:00,0,,,,71,140
38,2021-05-31 00:38:00,0,,,,71,140
39,2021-05-31 00:39:00,0,,,,71,140
40,2021-05-31 00:40:00,0,,,,71,140
41,2021-05-31 00:41:00,0,,,,71,140
42,2021-05-31 00:42:00,0,,,,71,140
43,2021-05-31 00:43:00,0,,,,71,140
44,2021-05-31 00:44:00,0,,,,71,140
45,2021-05-31 00:45:00,0,,,,71,140
46,2021-05-31 00:46:00,0,,,,71,140
47,2021-05-31 00:47:00,0,,,,71,140
48,2021-05-31 00:48:00,0,,,,71,140
49,2021-05-31 00:49:00,0,,,,71,140
50,2021-05-31 00:50:00,0,,,,71,140
51,2021-05-31 00:51:00,0,,,,71,140
52,2021-05-31 00:52:00,0,,,,71,140
53,2021-05-31 00:53:00,0,,,,71,140
54,2021-05-31 00:54:00,0,,,,71,140
55,2021-05-31 00:55:00,0,,,,71,140
56,2021-05-31 00:56:00,0,,,,71,140
57,2021-05-31 00:57:00,0,,,,71,140
58,2021-05-31 00:58:00,0,,,,71,140
59,2021-05-31 00:59:00,0,,,,71,140
60,2021-05-31 01:00:00,0,,,,71,140
61,2021-05-31 01:01:00,0,,,,71,140
62,2021-05-31 01:02:00,0,,,,71,140
63,2021-05-31 01:03:00,0,,,,71,140
64,2021-05-31 01:04:00,0,,,,71,140
65,2021-05-31 01:05:00,0,,,,71,140
66,2021-05-31 01:06:00,0,,,,71,140
67,2021-05-31 01:07:00,0,,,,71,140
68,2021-05-31 01:08:00,0,,,,71,140
69,2021-05-31 01:09:00,0,,,,71,140
70,2021-05-31 01:10:00,0,,,,71,140
71,2021-05-31 01:11:00,0,,,,71,140
72,2021-05-31 01:12:00,0,,,,71,140
73,2021-05-31 01:13:00,0,,,,71,140
74,2021-05-31 01:14:00,0,,,,71,140
75,2021-05-31 01:15:00,0,,,,71,140
76,2021-05-31 01:16:00,0,,,,71,140
77,2021-05-31 01:17:00,0,,,,71,140
78,2021-05-31 01:18:00,0,,,,71,140
79,2021-05-31 01:19:00,0,,,,71,140
80,2021-05-31 01:20:00,0,,,,71,140
81,2021-05-31 01:21:00,0,,,,71,140
82,2021-05-31 01:22:00,0,,,,71,140
83,2021-05-31 01:23:00,0,,,,71,140
84,2021-05-31 01:24:00,0,,,,71,140
85,2021-05-31 01:25:00,0,,,,71,140
86,2021-05-31 01:26:00,0,,,,71,140
87,2021-05-31 01:27:00,0,,,,71,140
88,2021-05-31 01:28:00,0,,,,71,140
89,2021-05-31 01:29:00,0,,,,71,140
90,2021-05-31 01:30:00,0,,,,71,140
91,2021-05-31 01:31:00,0,,,,71,140
92,2021-05-31 01:32:00,0,,,,71,140
93,2021-05-31 01:33:00,0,,,,71,140
94,2021-05-31 01:34:00,0,,,,71,140
95,2021-05-31 01:35:00,0,,,,71,140
96,2021-05-31 01:36:00,0,,,,71,140
97,2021-05-31 01:37:00,0,,,,71,140
98,2021-05-31 01:38:00,0,,,,71,140
99,2021-05-31 01:39:00,0,,,,71,140
100,2021-05-31 01:40:00,0,,,,71,140
101,2021-05-31 01:41:00,0,,,,71,140
102,2021-05-31 01:42:00,0,,,,71,140
103,2021-05-31 01:43:00,0,,,,71,140
104,2021-05-31 01:44:00,0,,,,71,140
105,2021-05-31 01:45:00,0,,,,71,140
106,2021-05-31 01:46:00,0,,,,71,140
107,2021-05-31 01:47:00,0,,,,71,140
108,2021-05-31 01:48:00,0,,,,71,140
109,2021-05-31 01:49:00,0,,,,71,140
110,2021-05-31 01:50:00,0,,,,71,140
111,2021-05-31 01:51:00,0,,,,71,140
112,2021-05-31 01:52:00,0,,,,71,140
113,2021-05-31 01:53:00,0,,,,71,140
114,2021-05-31 01:54:00,0,,,,71,140
115,2021-05-31 01:55:00,0,,,,71,140
116,2021-05-31 01:56:00,0,,,,71,140
117,2021-05-31 01:57:00,0,,,,71,140
118,2021-05-31 01:58:00,0,,,,71,140
119,2021-05-31 01:59:00,0,,,,71,140
120,2021-05-31 02:00:00,0,,,,71,140
121,2021-05-31 02:01:00,0,,,,71,140
122,2021-05-31 02:02:00,0,,,,71,140
123,2021-05-31 02:03:00,0,,,,71,140
124,2021-05-31 02:04:00,0,,,,71,140
125,2021-05-31 02:05:00,0,,,,71,140
126,2021-05-31 02:06:00,0,,,,71,140
127,2021-05-31 02:07:00,0,,,,71,140
128,2021-05-31 02:08:00,0,,,,71,140
129,2021-05-31 02:09:00,0,,,,71,140
130,2021-05-31 02:10:00,0,,,,71,140
131,2021-05-31 02:11:00,0,,,,71,140
132,2021-05-31 02:12:00,0,,,,71,140
133,2021-05-31 02:13:00,0,,,,71,140
134,2021-05-31 02:14:00,0,,,,71,140
135,2021-05-31 02:15:00,0,,,,71,140
136,2021-05-31 02:16:00,0,,,,71,140
137,2021-05-31 02:17:00,0,,,,71,140
138,2021-05-31 02:18:00,0,,,,71,140
139,2021-05-31 02:19:00,0,,,,71,140
140,2021-05-31 02:20:00,0,,,,71,140
141,2021-05-31 02:21:00,0,,,,71,140
142,2021-05-31 02:22:00,0,,,,71,140
143,2021-05-31 02:23:00,0,,,,71,140
144,2021-05-31 02:24:00,0,,,,71,140
145,2021-05-31 02:25:00,0,,,,71,140
146,2021-05-31 02:26:00,0,,,,71,140
147,2021-05-31 02:27:00,0,,,,71,140
148,2021-05-31 02:28:00,0,,,,71,140
149,2021-05-31 02:29:00,0,,,,71,140
150,2021-05-31 02:30:00,0,,,,71,140
151,2021-05-31 02:31:00,0,,,,71,140
152,2021-05-31 02:32:00,0,,,,71,140
153,2021-05-31 02:33:00,0,,,,71,140
154,2021-05-31 02:34:00,0,,,,71,140
