,DATE,USER,SLEEP,HEART,STEP
30397,2016-04-02 00:08:00,2026352035,1,61,0
30398,2016-04-02 00:09:00,2026352035,1,62,0
30399,2016-04-02 00:10:00,2026352035,1,61,0
30400,2016-04-02 00:11:00,2026352035,1,61,0
30401,2016-04-02 00:12:00,2026352035,1,61,0
30402,2016-04-02 00:13:00,2026352035,1,61,0
30403,2016-04-02 00:14:00,2026352035,1,61,0
30404,2016-04-02 00:15:00,2026352035,1,61,0
30405,2016-04-02 00:16:00,2026352035,1,60,0
30406,2016-04-02 00:17:00,2026352035,1,67,0
30407,2016-04-02 00:18:00,2026352035,1,61,0
30408,2016-04-02 00:19:00,2026352035,1,61,0
30409,2016-04-02 00:20:00,2026352035,1,62,0
30410,2016-04-02 00:21:00,2026352035,1,63,0
30411,2016-04-02 00:22:00,2026352035,1,63,0
30412,2016-04-02 00:23:00,2026352035,1,63,0
30413,2016-04-02 00:24:00,2026352035,1,61,0
30414,2016-04-02 00:25:00,2026352035,1,59,0
30415,2016-04-02 00:26:00,2026352035,1,62,0
30416,2016-04-02 00:27:00,2026352035,1,63,0
30417,2016-04-02 00:28:00,2026352035,1,62,0
30418,2016-04-02 00:29:00,2026352035,1,63,0
30419,2016-04-02 00:30:00,2026352035,1,64,0
30420,2016-04-02 00:31:00,2026352035,1,65,0
30421,2016-04-02 00:32:00,2026352035,1,64,0
30422,2016-04-02 00:33:00,2026352035,1,63,0
30423,2016-04-02 00:34:00,2026352035,1,62,0
30424,2016-04-02 00:35:00,2026352035,1,62,0
30425,2016-04-02 00:36:00,2026352035,1,62,0
30426,2016-04-02 00:37:00,2026352035,1,62,0
30427,2016-04-02 00:38:00,2026352035,1,59,0
30428,2016-04-02 00:39:00,2026352035,1,60,0
30429,2016-04-02 00:40:00,2026352035,1,61,0
30430,2016-04-02 00:41:00,2026352035,1,61,0
30431,2016-04-02 00:42:00,2026352035,1,60,0
30432,2016-04-02 00:43:00,2026352035,1,62,0
30433,2016-04-02 00:44:00,2026352035,1,61,0
30434,2016-04-02 00:45:00,2026352035,1,62,0
30435,2016-04-02 00:46:00,2026352035,1,62,0
30436,2016-04-02 00:47:00,2026352035,1,62,0
30437,2016-04-02 00:48:00,2026352035,1,63,0
30438,2016-04-02 00:49:00,2026352035,1,63,0
30439,2016-04-02 00:50:00,2026352035,1,63,0
30440,2016-04-02 00:51:00,2026352035,1,62,0
30441,2016-04-02 00:52:00,2026352035,1,60,0
30442,2016-04-02 00:53:00,2026352035,1,64,0
30443,2016-04-02 00:54:00,2026352035,1,63,0
30444,2016-04-02 00:55:00,2026352035,1,61,0
30445,2016-04-02 00:56:00,2026352035,1,61,0
30446,2016-04-02 00:57:00,2026352035,1,62,0
30447,2016-04-02 00:58:00,2026352035,1,61,0
30448,2016-04-02 00:59:00,2026352035,1,60,0
30449,2016-04-02 01:00:00,2026352035,1,63,0
30450,2016-04-02 01:01:00,2026352035,1,63,0
30451,2016-04-02 01:02:00,2026352035,1,66,0
30452,2016-04-02 01:03:00,2026352035,1,67,0
30453,2016-04-02 01:04:00,2026352035,1,67,0
30454,2016-04-02 01:05:00,2026352035,1,70,0
30455,2016-04-02 01:06:00,2026352035,1,70,0
30456,2016-04-02 01:07:00,2026352035,1,69,0
30457,2016-04-02 01:08:00,2026352035,1,64,0
30458,2016-04-02 01:09:00,2026352035,1,64,0
30459,2016-04-02 01:10:00,2026352035,1,63,0
30460,2016-04-02 01:11:00,2026352035,1,63,0
30461,2016-04-02 01:12:00,2026352035,1,63,0
30462,2016-04-02 01:13:00,2026352035,1,65,0
30463,2016-04-02 01:14:00,2026352035,1,71,0
30464,2016-04-02 01:15:00,2026352035,1,77,0
30465,2016-04-02 01:16:00,2026352035,1,74,0
30466,2016-04-02 01:17:00,2026352035,1,72,0
30467,2016-04-02 01:18:00,2026352035,1,71,0
30468,2016-04-02 01:19:00,2026352035,1,72,0
30469,2016-04-02 01:20:00,2026352035,1,72,0
30470,2016-04-02 01:21:00,2026352035,1,72,0
30471,2016-04-02 01:22:00,2026352035,1,72,0
30472,2016-04-02 01:23:00,2026352035,1,72,0
30473,2016-04-02 01:24:00,2026352035,1,72,0
30474,2016-04-02 01:25:00,2026352035,1,74,0
30475,2016-04-02 01:26:00,2026352035,1,75,0
30476,2016-04-02 01:27:00,2026352035,1,77,0
30477,2016-04-02 01:28:00,2026352035,1,79,0
30478,2016-04-02 01:29:00,2026352035,1,79,0
30479,2016-04-02 01:30:00,2026352035,1,77,0
30480,2016-04-02 01:31:00,2026352035,1,75,0
30481,2016-04-02 01:32:00,2026352035,1,75,0
30482,2016-04-02 01:33:00,2026352035,1,75,0
30483,2016-04-02 01:34:00,2026352035,1,75,0
30484,2016-04-02 01:35:00,2026352035,1,75,0
30485,2016-04-02 01:36:00,2026352035,1,75,0
30486,2016-04-02 01:37:00,2026352035,1,75,0
30539,2016-04-02 02:30:00,2026352035,1,72,0
30540,2016-04-02 02:31:00,2026352035,1,66,0
52319,2016-04-17 05:30:00,2026352035,0,67,0
52320,2016-04-17 05:31:00,2026352035,0,67,0
52321,2016-04-17 05:32:00,2026352035,0,66,0
52322,2016-04-17 05:33:00,2026352035,0,64,0
52323,2016-04-17 05:34:00,2026352035,0,63,0
52324,2016-04-17 05:35:00,2026352035,0,64,0
52325,2016-04-17 05:36:00,2026352035,0,65,0
